"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Brown County, IN","County or equivalent",15242,-14,7,32,25,-18,0,-18,-3
"Hamilton County, IN","County or equivalent",274569,1883,669,968,299,1186,166,1020,28
"Hancock County, IN","County or equivalent",70002,237,75,207,132,159,6,153,3
"Hendricks County, IN","County or equivalent",145448,418,219,433,214,197,23,174,2
"Johnson County, IN","County or equivalent",139654,374,149,448,299,227,44,183,-2
"Marion County, IN","County or equivalent",903393,1396,2008,3785,1777,-627,517,-1144,15
"Morgan County, IN","County or equivalent",68894,209,62,202,140,148,7,141,-1
"Putnam County, IN","County or equivalent",37963,-35,6,93,87,-41,2,-43,0
"Shelby County, IN","County or equivalent",44436,-70,15,125,110,-86,2,-88,1
"Iowa City, IA","Metropolitan Statistical Area",152586,364,316,513,197,46,100,-54,2
"Johnson County, IA","County or equivalent",130882,356,292,445,153,62,100,-38,2
"Washington County, IA","County or equivalent",21704,8,24,68,44,-16,0,-16,0
"Ithaca, NY","Metropolitan Statistical Area",101564,90,87,229,142,1,146,-145,2
"Tompkins County, NY","County or equivalent",101564,90,87,229,142,1,146,-145,2
"Jackson, MI","Metropolitan Statistical Area",160248,-80,95,453,358,-173,20,-193,-2
"Jackson County, MI","County or equivalent",160248,-80,95,453,358,-173,20,-193,-2
"Jackson, MS","Metropolitan Statistical Area",539057,1015,648,1793,1145,373,110,263,-6
"Copiah County, MS","County or equivalent",29449,-36,18,87,69,-54,8,-62,0
"Hinds County, MS","County or equivalent",245285,272,345,849,504,-67,48,-115,-6
"Madison County, MS","County or equivalent",95203,350,27,294,267,325,28,297,-2
"Rankin County, MS","County or equivalent",141617,432,233,479,246,196,20,176,3
"Simpson County, MS","County or equivalent",27503,-3,25,84,59,-27,6,-33,-1
"Jackson, TN","Metropolitan Statistical Area",115425,52,111,375,264,-60,18,-78,1
"Chester County, TN","County or equivalent",17131,26,4,44,40,21,0,21,1
"Madison County, TN","County or equivalent",98294,26,107,331,224,-81,18,-99,0
"Jacksonville, FL","Metropolitan Statistical Area",1345596,3106,1591,4270,2679,1488,775,713,27
"Baker County, FL","County or equivalent",27115,-16,27,83,56,-44,1,-45,1
"Clay County, FL","County or equivalent",190865,571,197,515,318,373,101,272,1
"Duval County, FL","County or equivalent",864263,1157,1253,3043,1790,-103,599,-702,7
"Nassau County, FL","County or equivalent",73314,191,14,187,173,179,21,158,-2
"St. Johns County, FL","County or equivalent",190039,1203,100,442,342,1083,53,1030,20
"Jacksonville, NC","Metropolitan Statistical Area",177772,1713,838,1037,199,861,447,414,14
"Onslow County, NC","County or equivalent",177772,1713,838,1037,199,861,447,414,14
"Janesville, WI","Metropolitan Statistical Area",160331,-43,173,491,318,-217,44,-261,1
"Rock County, WI","County or equivalent",160331,-43,173,491,318,-217,44,-261,1
"Jefferson City, MO","Metropolitan Statistical Area",149807,213,135,436,301,79,25,54,-1
"Callaway County, MO","County or equivalent",44332,68,28,123,95,39,2,37,1
"Cole County, MO","County or equivalent",75990,137,75,228,153,62,21,41,0
"Moniteau County, MO","County or equivalent",15607,14,13,48,35,2,2,0,-1
"Osage County, MO","County or equivalent",13878,-6,19,37,18,-24,0,-24,-1
"Johnson City, TN","Metropolitan Statistical Area",198716,258,-21,521,542,282,37,245,-3
"Carter County, TN","County or equivalent",57424,-82,-41,140,181,-38,5,-43,-3
"Unicoi County, TN","County or equivalent",18313,-39,-30,38,68,-8,6,-14,-1
"Washington County, TN","County or equivalent",122979,379,50,343,293,328,26,302,1
"Johnstown, PA","Metropolitan Statistical Area",143679,922,-111,337,448,1011,12,999,22
"Cambria County, PA","County or equivalent",143679,922,-111,337,448,1011,12,999,22
"Jonesboro, AR","Metropolitan Statistical Area",121026,230,105,394,289,126,25,101,-1
"Craighead County, AR","County or equivalent",96443,262,121,325,204,140,24,116,1
"Poinsett County, AR","County or equivalent",24583,-32,-16,69,85,-14,1,-15,-2
"Joplin, MO","Metropolitan Statistical Area",175518,339,202,621,419,141,23,118,-4
"Jasper County, MO","County or equivalent",117404,350,160,434,274,191,17,174,-1
"Newton County, MO","County or equivalent",58114,-11,42,187,145,-50,6,-56,-3
"Kalamazoo-Portage, MI","Metropolitan Statistical Area",326589,266,368,1020,652,-97,106,-203,-5
"Kalamazoo County, MI","County or equivalent",250331,328,291,772,481,44,90,-46,-7
"Van Buren County, MI","County or equivalent",76258,-62,77,248,171,-141,16,-157,2
"Kankakee-Bradley, IL","Metropolitan Statistical Area",113449,62,114,374,260,-50,22,-72,-2
"Kankakee County, IL","County or equivalent",113449,62,114,374,260,-50,22,-72,-2
"Kansas City, MO-KS","Metropolitan Statistical Area",2035334,4432,3180,6988,3808,1267,849,418,-15
"Franklin County, KS","County or equivalent",25992,32,19,81,62,14,1,13,-1
"Johnson County, KS","County or equivalent",544179,1562,1044,1837,793,527,281,246,-9
"Leavenworth County, KS","County or equivalent",76227,284,97,230,133,185,47,138,2
"Linn County, KS","County or equivalent",9656,-16,5,21,16,-20,0,-20,-1
"Miami County, KS","County or equivalent",32787,55,22,96,74,33,1,32,0
"Wyandotte County, KS","County or equivalent",157505,306,354,672,318,-48,141,-189,0
"Bates County, MO","County or equivalent",17049,1,3,47,44,-1,0,-1,-1
"Caldwell County, MO","County or equivalent",9424,8,5,23,18,4,0,4,-1
"Cass County, MO","County or equivalent",99478,258,108,309,201,151,11,140,-1
"Clay County, MO","County or equivalent",221939,747,418,783,365,323,57,266,6
"Clinton County, MO","County or equivalent",20743,4,-12,53,65,18,2,16,-2
